S3_LOG_BUCKET_OWNER,S3_LOG_BUCKET,S3_LOG_DATETIME,S3_LOG_IP,S3_LOG_REQUESTOR_ID,S3_LOG_REQUEST_ID,S3_LOG_OPERATION,S3_LOG_KEY,S3_LOG_HTTP_METHOD_URI_PROTO,S3_LOG_HTTP_STATUS,S3_LOG_S3_ERROR,S3_LOG_BYTES_SENT,S3_LOG_OBJECT_SIZE,S3_LOG_TOTAL_TIME,S3_LOG_TURN_AROUND_TIME,S3_LOG_REFERER,S3_LOG_USER_AGENT
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:53 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,98BV2HNEQKZQNWQQ,REST.GET.OBJECT,chunk_size_16777216.h5/test/302,GET /chunk_size_16777216.h5/test/302 HTTP/1.1,200,-,16777216,16777216,10865,115,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:53 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,98BVJTEEYQ1BM04C,REST.GET.OBJECT,chunk_size_16777216.h5/test/455,GET /chunk_size_16777216.h5/test/455 HTTP/1.1,200,-,16777216,16777216,12909,131,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:53 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,98BYP9CRWGECBB0X,REST.GET.OBJECT,chunk_size_16777216.h5/test/395,GET /chunk_size_16777216.h5/test/395 HTTP/1.1,200,-,16777216,16777216,10329,181,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:53 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,98BZ0Z5H069R82CC,REST.GET.OBJECT,chunk_size_16777216.h5/test/104,GET /chunk_size_16777216.h5/test/104 HTTP/1.1,200,-,16777216,16777216,10658,149,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:53 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,98BZQWHVVBNEBJ9Q,REST.GET.OBJECT,chunk_size_16777216.h5/test/99,GET /chunk_size_16777216.h5/test/99 HTTP/1.1,200,-,16777216,16777216,7564,84,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:53 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,98BGKJHQZDTFJA00,REST.GET.OBJECT,chunk_size_16777216.h5/test/43,GET /chunk_size_16777216.h5/test/43 HTTP/1.1,200,-,16777216,16777216,16149,80,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:53 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,98BMA7YRARM52F7S,REST.GET.OBJECT,chunk_size_16777216.h5/test/134,GET /chunk_size_16777216.h5/test/134 HTTP/1.1,200,-,16777216,16777216,14444,105,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:53 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,98BNG8WJWN9RS3K5,REST.GET.OBJECT,chunk_size_16777216.h5/test/482,GET /chunk_size_16777216.h5/test/482 HTTP/1.1,200,-,16777216,16777216,8138,133,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:53 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,98BNYB1SPDR4TDN3,REST.GET.OBJECT,chunk_size_16777216.h5/test/64,GET /chunk_size_16777216.h5/test/64 HTTP/1.1,200,-,16777216,16777216,789,146,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:53 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,98BPAMSY1RP5KYYG,REST.GET.OBJECT,chunk_size_16777216.h5/test/261,GET /chunk_size_16777216.h5/test/261 HTTP/1.1,200,-,16777216,16777216,9684,76,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:53 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,98BPXWD6A0JZQRSR,REST.GET.OBJECT,chunk_size_16777216.h5/test/196,GET /chunk_size_16777216.h5/test/196 HTTP/1.1,200,-,16777216,16777216,10974,151,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:53 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,98BPY074EF4B61Y2,REST.GET.OBJECT,chunk_size_16777216.h5/test/175,GET /chunk_size_16777216.h5/test/175 HTTP/1.1,200,-,16777216,16777216,12175,190,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:53 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,98BQMSM8DTJWT472,REST.GET.OBJECT,chunk_size_16777216.h5/test/206,GET /chunk_size_16777216.h5/test/206 HTTP/1.1,200,-,16777216,16777216,12158,98,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:53 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,98BQMV6ENBHEK8Z9,REST.GET.OBJECT,chunk_size_16777216.h5/test/491,GET /chunk_size_16777216.h5/test/491 HTTP/1.1,200,-,16777216,16777216,16560,139,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:53 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,98BV9HFHSJ66RC9W,REST.GET.OBJECT,chunk_size_16777216.h5/test/294,GET /chunk_size_16777216.h5/test/294 HTTP/1.1,200,-,16777216,16777216,7719,99,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:53 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,98BW945M38C3DHFR,REST.GET.OBJECT,chunk_size_16777216.h5/test/300,GET /chunk_size_16777216.h5/test/300 HTTP/1.1,200,-,16777216,16777216,9633,144,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:53 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,98BWQ808DDJHCYMQ,REST.GET.OBJECT,chunk_size_16777216.h5/test/205,GET /chunk_size_16777216.h5/test/205 HTTP/1.1,200,-,16777216,16777216,8102,109,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:53 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,98BZQ9NJXG52HN3E,REST.GET.OBJECT,chunk_size_16777216.h5/test/204,GET /chunk_size_16777216.h5/test/204 HTTP/1.1,200,-,16777216,16777216,8673,109,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:54 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,4T233KK80A0B40Q9,REST.GET.OBJECT,chunk_size_16777216.h5/test/291,GET /chunk_size_16777216.h5/test/291 HTTP/1.1,200,-,16777216,16777216,11472,128,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:53 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,98BSCNWG8NZZM2VP,REST.GET.OBJECT,chunk_size_16777216.h5/test/199,GET /chunk_size_16777216.h5/test/199 HTTP/1.1,200,-,16777216,16777216,8652,98,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:53 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,98BT8Q7E7XNEJ23H,REST.GET.OBJECT,chunk_size_16777216.h5/test/200,GET /chunk_size_16777216.h5/test/200 HTTP/1.1,200,-,16777216,16777216,8614,163,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
