start,finish
1661454476.9137,1661454477.6073
1661454477.0821,1661454477.6371
1661454476.902,1661454477.6766
1661454475.8176,1661454477.8928
1661454475.7204,1661454478.3596
1661454475.6806,1661454478.6527
1661454476.5825,1661454478.6878
1661454476.5678,1661454478.902
1661454479.4108,1661454479.8734
1661454479.3842,1661454479.9783
1661454479.3929,1661454479.9927
1661454479.3199,1661454479.9966
1661454479.4016,1661454480.1
1661454479.4281,1661454480.1151
1661454479.3755,1661454480.143
1661454479.3102,1661454480.1919
1661454479.3575,1661454480.2763
1661454479.2883,1661454480.2784
1661454479.9821,1661454480.5121
1661454480.1469,1661454480.5686
1661454479.3398,1661454480.5839
1661454480.1953,1661454480.7026
1661454480.011,1661454480.7387
1661454480.5161,1661454480.9378
1661454480.5723,1661454481.0302
1661454479.8771,1661454481.0917
1661454480.706,1661454481.1143
1661454480.121,1661454481.1734
1661454480.0008,1661454481.178
1661454480.7421,1661454481.2075
1661454479.4194,1661454481.2846
1661454480.9417,1661454481.4741
1661454480.2812,1661454481.4844
1661454480.292,1661454481.7186
1661454479.3662,1661454481.7691
1661454479.3,1661454481.802
1661454479.3299,1661454482.0381
1661454479.3487,1661454482.1101
1661454480.1036,1661454482.5126
1661454480.5884,1661454483.0797
1661454483.5916,1661454484.1081
1661454483.538,1661454484.1218
1661454483.609,1661454484.2148
1661454483.5468,1661454484.2295
1661454483.4872,1661454484.2446
1661454483.5556,1661454484.3015
1661454483.6269,1661454484.3578
1661454483.6176,1661454484.3757
1661454483.5288,1661454484.417
1661454483.5824,1661454484.4311
1661454484.1113,1661454484.5621
1661454483.5075,1661454484.5805
1661454483.5737,1661454484.5954
1661454484.126,1661454484.5971
1661454484.2327,1661454484.7607
1661454484.2178,1661454484.7838
1661454483.4975,1661454484.8233
1661454484.304,1661454484.9655
1661454484.5645,1661454485.0049
1661454484.2475,1661454485.0202
1661454484.5833,1661454485.1198
1661454484.787,1661454485.1996
1661454484.3605,1661454485.2511
1661454484.4197,1661454485.2529
1661454484.7632,1661454485.6506
1661454484.5997,1661454485.7697
1661454483.565,1661454485.8199
1661454484.6101,1661454485.8358
1661454483.5172,1661454485.9564
1661454484.4337,1661454486.3345
1661454483.6003,1661454486.3804
1661454484.3779,1661454486.6252
1661454487.4439,1661454488.0012
1661454487.4239,1661454488.0545
1661454487.5538,1661454488.1537
1661454487.435,1661454488.2248
1661454487.5361,1661454488.2307
1661454487.517,1661454488.2482
1661454487.4979,1661454488.3641
1661454487.5264,1661454488.3907
1661454487.5449,1661454488.4381
1661454487.4711,1661454488.4684
1661454487.4115,1661454488.486
1661454488.0087,1661454488.5074
1661454487.4616,1661454488.5314
1661454488.0602,1661454488.5575
1661454488.1606,1661454488.6856
1661454487.4527,1661454488.7321
1661454488.2337,1661454488.7493
1661454488.2494,1661454488.7498
1661454488.2655,1661454488.8674
1661454488.5133,1661454488.9581
1661454488.5627,1661454488.9695
1661454488.4426,1661454488.9939
1661454488.7368,1661454489.102
1661454488.4941,1661454489.2298
1661454488.4738,1661454489.364
1661454487.4801,1661454489.3705
1661454488.6909,1661454489.3946
1661454488.5375,1661454489.4302
1661454487.5073,1661454489.8355
1661454487.489,1661454490.4243
1661454488.3694,1661454491.1582
1661454488.3947,1661454491.3076
1661454491.7183,1661454492.3437
1661454491.6681,1661454492.3646
1661454491.7272,1661454492.4092
1661454491.8247,1661454492.4617
1661454491.8161,1661454492.4992
1661454491.8334,1661454492.5159
1661454491.7896,1661454492.6349
1661454492.3714,1661454492.7548
1661454491.6981,1661454492.8502
1661454491.7982,1661454492.8668
1661454491.7091,1661454492.887
1661454491.7808,1661454492.9057
1661454492.3495,1661454492.9064
1661454492.4657,1661454492.9357
1661454492.5209,1661454492.9539
1661454492.5042,1661454493.1144
1661454492.7588,1661454493.1932
1661454491.6885,1661454493.2649
1661454492.8546,1661454493.3727
1661454492.9119,1661454493.4169
1661454492.9581,1661454493.4276
1661454493.1182,1661454493.5255
1661454492.8706,1661454493.6115
1661454491.7362,1661454493.6235
1661454492.4134,1661454493.637
1661454492.9252,1661454494.1188
1661454492.9417,1661454494.1995
1661454491.6785,1661454494.3872
1661454491.8069,1661454494.6106
1661454491.8426,1661454494.628
1661454492.6396,1661454494.9853
1661454492.8908,1661454495.2077
1661454495.7104,1661454496.2906
1661454495.5897,1661454496.3835
1661454495.719,1661454496.4187
1661454495.6305,1661454496.4372
1661454495.6001,1661454496.4509
1661454495.6661,1661454496.4537
1661454495.6112,1661454496.4881
1661454495.6754,1661454496.5882
1661454495.6216,1661454496.605
1661454495.64,1661454496.6862
1661454496.2941,1661454496.7779
1661454496.4222,1661454496.8858
1661454496.3872,1661454496.9025
1661454496.4692,1661454496.9804
1661454496.4917,1661454497.0211
1661454496.6089,1661454497.0507
1661454495.6575,1661454497.1391
1661454496.7807,1661454497.2207
1661454496.4555,1661454497.3032
1661454496.906,1661454497.3657
1661454496.6894,1661454497.4011
1661454496.5917,1661454497.4286
1661454495.684,1661454497.4372
1661454496.8893,1661454497.4928
1661454496.9836,1661454497.5121
1661454497.0536,1661454497.6035
1661454495.6926,1661454497.6108
1661454496.4414,1661454497.6354
1661454497.0247,1661454497.7835
1661454495.5792,1661454498.0547
1661454495.6488,1661454498.1234
1661454495.7012,1661454498.3837
1661454499.21,1661454499.7573
1661454499.2368,1661454499.9259
1661454499.2463,1661454499.9428
1661454499.2732,1661454499.9486
1661454499.182,1661454499.9796
1661454499.2552,1661454500.0249
1661454499.264,1661454500.1526
1661454499.1599,1661454500.3702
1661454499.9645,1661454500.4217
1661454499.2003,1661454500.437
1661454499.2279,1661454500.4409
1661454499.9856,1661454500.4477
1661454499.2994,1661454500.5193
1661454500.1577,1661454500.661
1661454499.9325,1661454500.6872
1661454499.7633,1661454500.8349
1661454500.4275,1661454500.9977
1661454500.4732,1661454501.0012
1661454500.0303,1661454501.0118
1661454499.2907,1661454501.1307
1661454499.9543,1661454501.1532
1661454499.172,1661454501.1996
1661454499.2819,1661454501.221
1661454500.464,1661454501.2459
1661454500.5294,1661454501.248
1661454500.8398,1661454501.2895
1661454499.1913,1661454501.3394
1661454500.6927,1661454501.415
1661454500.6676,1661454501.4868
1661454499.219,1661454501.5676
1661454500.4516,1661454502.5728
1661454500.3792,1661454502.9201
1661454503.318,1661454503.8097
1661454503.3555,1661454503.879
1661454503.2603,1661454503.8995
1661454503.3824,1661454503.9274
1661454503.8157,1661454504.2136
1661454503.3737,1661454504.2626
1661454503.3091,1661454504.2835
1661454503.9321,1661454504.373
1661454503.391,1661454504.375
1661454503.3649,1661454504.4559
1661454503.884,1661454504.5224
1661454503.3466,1661454504.5927
1661454503.2814,1661454504.6279
1661454504.2669,1661454504.725
1661454504.4603,1661454504.9029
1661454504.3901,1661454504.9207
1661454504.2889,1661454505.0109
